spotId,canonicalName,aliases,topCategory,subcategory,stateUT,district,cityLocality,region,discoveryStatus,verificationStatus,source,importance
DISC-00001,Palani Murugan Temple,Arulmigu Dhandayuthapani Swamy Temple|Palani Temple|Pazhani Murugan Temple,PILGRIMAGE,Hinduism,Tamil Nadu,Dindigul,Palani,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00002,Aranmula Parthasarathy Temple,,PILGRIMAGE,Hinduism,Kerala,Pathanamthitta,Aranmula,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00003,Sabarimala,Sabarimala Temple|Sree Dharma Sastha Temple,PILGRIMAGE,Hinduism,Kerala,Pathanamthitta,Sabarimala,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00004,Thazhathangady Juma Masjid,,PILGRIMAGE,Islam,Kerala,Kottayam,Kottayam,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00005,Mount Carmel Church,,PILGRIMAGE,Christianity,Kerala,Idukki,Munnar,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00006,Sree Padmanabhaswamy Temple,,PILGRIMAGE,Hinduism,Kerala,Thiruvananthapuram,Thiruvananthapuram,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00007,Sivagiri Mutt,,PILGRIMAGE,Hinduism,Kerala,Thiruvananthapuram,Varkala,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00008,Kashi Vishwanath Temple,,PILGRIMAGE,Hinduism,Uttar Pradesh,Varanasi,Varanasi,North,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00009,Beyt Dwarka,,PILGRIMAGE,Hinduism,Gujarat,Devbhumi Dwarka,Beyt Dwarka,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00010,Virupaksha Temple,,PILGRIMAGE,Hinduism,Karnataka,Vijayanagara,Hampi,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
