topCategory,subcategory
PILGRIMAGE,Hinduism
PILGRIMAGE,Islam
PILGRIMAGE,Buddhism
PILGRIMAGE,Sikhism
PILGRIMAGE,Jainism
PILGRIMAGE,Christianity
PILGRIMAGE,Judaism
PILGRIMAGE,Other Spiritual
PILGRIMAGE,Temple
PILGRIMAGE,Mosque
PILGRIMAGE,Dargah
PILGRIMAGE,Gurudwara
PILGRIMAGE,Church/Basilica
PILGRIMAGE,Synagogue
PILGRIMAGE,Monastery
PILGRIMAGE,Sacred River
PILGRIMAGE,Sacred Lake
PILGRIMAGE,Sacred Mountain
PILGRIMAGE,Sacred Cave
TOURIST,Monument
TOURIST,Museum
TOURIST,Historical Building
TOURIST,UNESCO World Heritage Site
TOURIST,Archaeological Site
TOURIST,Historical Site
TOURIST,Palace
TOURIST,Fort
TOURIST,Wildlife Sanctuary
TOURIST,National Park
TOURIST,Zoological Park
TOURIST,Bird Watching
TOURIST,Marine Life
TOURIST,Beach
TOURIST,Cruise
TOURIST,Hill/Mountain
TOURIST,Forest/Garden
TOURIST,River/Lake
TOURIST,Desert
TOURIST,Cave
TOURIST,Waterfall
TOURIST,Adventure
TOURIST,Gastronomy
TOURIST,Wedding
TOURIST,Wellness
TOURIST,Arts
TOURIST,Rural
TOURIST,Eco Tourism
TOURIST,Tribal Tourism
TOURIST,Crafts/Handloom
TOURIST,Cinema
TOURIST,Night Life
TOURIST,Sports
TOURIST,Amusement/Theme Park
