searchTerm,spotId,termType
Palani Murugan Temple,DISC-00001,CANONICAL
Arulmigu Dhandayuthapani Swamy Temple,DISC-00001,ALIAS
Palani Temple,DISC-00001,ALIAS
Pazhani Murugan Temple,DISC-00001,ALIAS
Aranmula Parthasarathy Temple,DISC-00002,CANONICAL
Sabarimala,DISC-00003,CANONICAL
Sabarimala Temple,DISC-00003,ALIAS
Sree Dharma Sastha Temple,DISC-00003,ALIAS
Thazhathangady Juma Masjid,DISC-00004,CANONICAL
Mount Carmel Church,DISC-00005,CANONICAL
Sree Padmanabhaswamy Temple,DISC-00006,CANONICAL
Sivagiri Mutt,DISC-00007,CANONICAL
Kashi Vishwanath Temple,DISC-00008,CANONICAL
Beyt Dwarka,DISC-00009,CANONICAL
Virupaksha Temple,DISC-00010,CANONICAL
Sri Harmandir Sahib,DISC-00011,CANONICAL
Golden Temple,DISC-00011,ALIAS
Darbar Sahib,DISC-00011,ALIAS
Mahabodhi Temple,DISC-00012,CANONICAL
Kamakhya Temple,DISC-00013,CANONICAL
Sri Jagannath Temple,DISC-00014,CANONICAL
Dwarkadhish Temple,DISC-00015,CANONICAL
Grishneshwar Temple,DISC-00016,CANONICAL
Mahalaxmi Temple,DISC-00017,CANONICAL
Kalaram Temple,DISC-00018,CANONICAL
Panchvati,DISC-00019,CANONICAL
Ramtek Temple,DISC-00020,CANONICAL
Lenyadri Temple,DISC-00021,CANONICAL
Mangaladevi Temple,DISC-00022,CANONICAL
Kadri Manjunatha Temple,DISC-00023,CANONICAL
Kateel Durga Parameshwari Temple,DISC-00024,CANONICAL
Kudroli Temple,DISC-00025,CANONICAL
"Sri Krishna Temple, Udupi",DISC-00026,CANONICAL
Polali Rajarajeshwari Temple,DISC-00027,CANONICAL
Tawang Monastery,DISC-00028,CANONICAL
Ganesh Tok,DISC-00029,CANONICAL
Magen David Synagogue,DISC-00030,CANONICAL
Mount Mary Church,DISC-00031,CANONICAL
Paradesi Synagogue,DISC-00032,CANONICAL
Cochin Jewish Synagogue,DISC-00032,ALIAS
Basilica of Bom Jesus,DISC-00033,CANONICAL
Bom Jesus Basilica,DISC-00033,ALIAS
Bara Imambara,DISC-00034,CANONICAL
Victoria Memorial,DISC-00035,CANONICAL
City Palace Jaipur,DISC-00036,CANONICAL
Marina Beach,DISC-00037,CANONICAL
India Gate,DISC-00038,CANONICAL
Golconda Fort,DISC-00039,CANONICAL
Haji Ali Dargah,DISC-00040,CANONICAL
Lothal,DISC-00041,CANONICAL
Aga Khan Palace,DISC-00042,CANONICAL
Cellular Jail,DISC-00043,CANONICAL
Darjeeling Himalayan Railway,DISC-00044,CANONICAL
Happy Valley Tea Estate,DISC-00045,CANONICAL
Padmaja Naidu Himalayan Zoological Park,DISC-00046,CANONICAL
Singalila National Park,DISC-00047,CANONICAL
Tiger Hill,DISC-00048,CANONICAL
Dzukou Valley,DISC-00049,CANONICAL
Tsomgo Lake,DISC-00050,CANONICAL
Nohsngithiang Falls,DISC-00051,CANONICAL
Kangla Fort,DISC-00052,CANONICAL
Ujjayanta Palace,DISC-00053,CANONICAL
Khawnglung Wildlife Sanctuary,DISC-00054,CANONICAL
Lotus Mahal,DISC-00055,CANONICAL
Elephant Stables,DISC-00056,CANONICAL
Lalith Mahal Palace,DISC-00057,CANONICAL
Mysuru Zoo,DISC-00058,CANONICAL
Mahakuta Temples,DISC-00059,CANONICAL
Bhutanatha Temple,DISC-00060,CANONICAL
Dandeli National Park,DISC-00061,CANONICAL
Kodachadri Hills,DISC-00062,CANONICAL
Kudremukh National Park,DISC-00063,CANONICAL
Old Mangalore Port,DISC-00064,CANONICAL
Ullal Beach,DISC-00065,CANONICAL
Pilikula Nisargadhama,DISC-00066,CANONICAL
"Archaeological Museum, Badami",DISC-00067,CANONICAL
Badami Fort,DISC-00068,CANONICAL
Banashankari Temple,DISC-00069,CANONICAL
"Cave Temples, Badami",DISC-00070,CANONICAL
Aihole,DISC-00071,CANONICAL
Pattadakal,DISC-00072,CANONICAL
Moti Daman Fort,DISC-00073,CANONICAL
Fort of St. Jerome,DISC-00074,CANONICAL
Diu Fort,DISC-00075,CANONICAL
Diu Museum,DISC-00076,CANONICAL
INS Khukri Memorial,DISC-00077,CANONICAL
Devka Beach,DISC-00078,CANONICAL
Jampore Beach,DISC-00079,CANONICAL
Dudhni Lake,DISC-00080,CANONICAL
Vasona Lion Safari Park,DISC-00081,CANONICAL
Nakshatra Garden,DISC-00082,CANONICAL
Vanganga Lake Garden,DISC-00083,CANONICAL
Thazhathangady Juma Masjid,DISC-00084,CANONICAL
Kumarakom Bird Sanctuary,DISC-00085,CANONICAL
Kannan Devan Tea Museum,DISC-00086,CANONICAL
Eravikulam National Park,DISC-00087,CANONICAL
Palakkad Fort,DISC-00088,CANONICAL
Silent Valley National Park,DISC-00089,CANONICAL
Kanakakkunnu Palace,DISC-00090,CANONICAL
Peppara Wildlife Sanctuary,DISC-00091,CANONICAL
Thangassery Light House,DISC-00092,CANONICAL
Jatayu Rock,DISC-00093,CANONICAL
Anayirankal,DISC-00094,CANONICAL
Pampadum Shola National Park,DISC-00095,CANONICAL
Varikkasseri Mana,DISC-00096,CANONICAL
Neendakara Port,DISC-00097,CANONICAL
Anayirankal Dam,DISC-00098,CANONICAL
Mattupetty Dam,DISC-00099,CANONICAL
Top Station,DISC-00100,CANONICAL
Thommankuthu Waterfall,DISC-00101,CANONICAL
Blossom International Park,DISC-00102,CANONICAL
Cherai Beach,DISC-00103,CANONICAL
"Sree Krishna Temple, Guruvayur",DISC-00104,CANONICAL
Athirappilly Waterfalls,DISC-00105,CANONICAL
Kumarakom,DISC-00106,CANONICAL
Kollam Beach,DISC-00107,CANONICAL
Varkala,DISC-00108,CANONICAL
Sanchi Stupa,DISC-00109,CANONICAL
Charminar,DISC-00110,CANONICAL
Ramappa Temple,DISC-00111,CANONICAL
Thousand Pillar Temple,DISC-00112,CANONICAL
Warangal Fort,DISC-00113,CANONICAL
Eturnagaram Wildlife Sanctuary,DISC-00114,CANONICAL
Pakhal Wildlife Sanctuary,DISC-00115,CANONICAL
Lower Manair Dam,DISC-00116,CANONICAL
